
level, duration, hits, total_ducks, score, ratio
1, 60, 48.0, 48, 1, 1.0
level, duration, hits, total_ducks, score, ratio
level, duration, hits, total_ducks, score, ratio
level, duration, hits, total_ducks, score, ratio
53, 60, 57.0, 59, 53, 0.9661016949152542
54, 60, 57.0, 59, 54, 0.9661016949152542
55, 60, 58.0, 59, 55, 0.9830508474576272
56, 60, 57.0, 59, 56, 0.9661016949152542
57, 60, 55.0, 59, 57, 0.9322033898305084
58, 60, 49.0, 53, 58, 0.9245283018867925
59, 60, 57.0, 59, 59, 0.9661016949152542
60, 60, 59.0, 59, 60, 1.0
61, 60, 56.0, 59, 61, 0.9491525423728814
62, 60, 57.0, 59, 62, 0.9661016949152542
63, 60, 56.0, 59, 63, 0.9491525423728814
64, 60, 57.0, 59, 64, 0.9661016949152542
65, 60, 58.0, 58, 65, 1.0
66, 60, 57.0, 59, 66, 0.9661016949152542
67, 60, 56.0, 59, 67, 0.9491525423728814
68, 60, 55.0, 58, 68, 0.9482758620689655
69, 60, 49.0, 52, 69, 0.9423076923076923
70, 60, 56.0, 58, 70, 0.9655172413793104
71, 60, 55.0, 58, 71, 0.9482758620689655
72, 60, 56.0, 57, 72, 0.9824561403508771
73, 60, 57.0, 58, 73, 0.9827586206896551
74, 60, 57.0, 58, 74, 0.9827586206896551
75, 60, 53.0, 57, 75, 0.9298245614035088
76, 60, 54.0, 57, 76, 0.9473684210526315
77, 60, 57.0, 59, 77, 0.9661016949152542
78, 60, 54.0, 59, 78, 0.9152542372881356
79, 60, 50.0, 54, 79, 0.9259259259259259
80, 60, 41.0, 47, 80, 0.8723404255319149
81, 60, 51.0, 52, 81, 0.9807692307692307
82, 60, 53.0, 56, 82, 0.9464285714285714
83, 60, 55.0, 58, 83, 0.9482758620689655
84, 60, 58.0, 59, 84, 0.9830508474576272
85, 60, 59.0, 59, 85, 1.0
86, 60, 59.0, 59, 86, 1.0
87, 60, 57.0, 59, 87, 0.9661016949152542
88, 60, 57.0, 59, 88, 0.9661016949152542
89, 60, 57.0, 59, 89, 0.9661016949152542
90, 60, 55.0, 59, 90, 0.9322033898305084
91, 60, 48.0, 54, 91, 0.8888888888888888
92, 60, 56.0, 59, 92, 0.9491525423728814
93, 60, 56.0, 59, 93, 0.9491525423728814
94, 60, 59.0, 59, 94, 1.0
95, 60, 58.0, 59, 95, 0.9830508474576272
96, 60, 58.0, 59, 96, 0.9830508474576272
97, 60, 57.0, 59, 97, 0.9661016949152542
98, 60, 57.0, 59, 98, 0.9661016949152542
99, 60, 58.0, 59, 99, 0.9830508474576272
100, 60, 57.0, 59, 100, 0.9661016949152542
101, 60, 55.0, 58, 101, 0.9482758620689655
102, 60, 44.0, 49, 102, 0.8979591836734694
103, 60, 58.0, 59, 103, 0.9830508474576272
104, 60, 58.0, 59, 104, 0.9830508474576272
105, 60, 57.0, 58, 105, 0.9827586206896551
106, 60, 58.0, 59, 106, 0.9830508474576272
107, 60, 57.0, 59, 107, 0.9661016949152542
108, 60, 58.0, 59, 108, 0.9830508474576272
109, 60, 56.0, 59, 109, 0.9491525423728814
110, 60, 57.0, 59, 110, 0.9661016949152542
111, 60, 55.0, 59, 111, 0.9322033898305084
112, 60, 56.0, 58, 112, 0.9655172413793104
113, 60, 43.0, 47, 113, 0.9148936170212766
114, 60, 59.0, 59, 114, 1.0
115, 60, 55.0, 58, 115, 0.9482758620689655
116, 60, 58.0, 59, 116, 0.9830508474576272
117, 60, 57.0, 59, 117, 0.9661016949152542
118, 60, 57.0, 59, 118, 0.9661016949152542
119, 60, 58.0, 59, 119, 0.9830508474576272
120, 60, 57.0, 59, 120, 0.9661016949152542
121, 60, 56.0, 58, 121, 0.9655172413793104
122, 60, 55.0, 58, 122, 0.9482758620689655
123, 60, 54.0, 58, 123, 0.9310344827586207
124, 60, 51.0, 56, 124, 0.9107142857142857
125, 60, 55.0, 59, 125, 0.9322033898305084
126, 60, 50.0, 53, 126, 0.9433962264150944
127, 60, 51.0, 55, 127, 0.9272727272727272
128, 60, 57.0, 59, 128, 0.9661016949152542
129, 60, 30.0, 40, 129, 0.75
130, 60, 58.0, 59, 130, 0.9830508474576272
131, 60, 58.0, 59, 131, 0.9830508474576272
132, 60, 59.0, 59, 132, 1.0
133, 60, 57.0, 59, 133, 0.9661016949152542
134, 60, 46.0, 52, 134, 0.8846153846153846
135, 60, 57.0, 59, 135, 0.9661016949152542
136, 60, 57.0, 59, 136, 0.9661016949152542
137, 60, 55.0, 59, 137, 0.9322033898305084
138, 60, 58.0, 59, 138, 0.9830508474576272
139, 60, 57.0, 59, 139, 0.9661016949152542
140, 60, 56.0, 58, 140, 0.9655172413793104
141, 60, 39.0, 46, 141, 0.8478260869565217
