level, duration, hits, total_ducks, score, ratio
187, 60, 58.0, 59, 187, 0.9830508474576272
188, 60, 58.0, 59, 188, 0.9830508474576272
189, 60, 51.0, 58, 189, 0.8793103448275862
190, 60, 52.0, 55, 190, 0.9454545454545454
191, 60, 57.0, 59, 191, 0.9661016949152542
192, 60, 55.0, 58, 192, 0.9482758620689655
193, 60, 57.0, 59, 193, 0.9661016949152542
194, 60, 58.0, 59, 194, 0.9830508474576272
195, 60, 59.0, 59, 195, 1.0
196, 60, 58.0, 59, 196, 0.9830508474576272
197, 60, 58.0, 59, 197, 0.9830508474576272
198, 60, 57.0, 59, 198, 0.9661016949152542
199, 60, 55.0, 59, 199, 0.9322033898305084
200, 60, 35.0, 40, 200, 0.875
201, 60, 57.0, 59, 201, 0.9661016949152542
202, 60, 58.0, 59, 202, 0.9830508474576272
203, 60, 57.0, 59, 203, 0.9661016949152542
204, 60, 58.0, 59, 204, 0.9830508474576272
205, 60, 58.0, 59, 205, 0.9830508474576272
206, 60, 58.0, 59, 206, 0.9830508474576272
207, 60, 58.0, 59, 207, 0.9830508474576272
208, 60, 56.0, 59, 208, 0.9491525423728814
209, 60, 58.0, 59, 209, 0.9830508474576272
210, 60, 54.0, 58, 210, 0.9310344827586207
211, 60, 41.0, 47, 211, 0.8723404255319149
212, 60, 55.0, 59, 212, 0.9322033898305084
213, 60, 58.0, 59, 213, 0.9830508474576272
214, 60, 53.0, 57, 214, 0.9298245614035088
215, 60, 33.0, 39, 215, 0.8461538461538461
216, 60, 59.0, 59, 216, 1.0
217, 60, 59.0, 59, 217, 1.0
218, 60, 58.0, 59, 218, 0.9830508474576272
219, 60, 58.0, 58, 219, 1.0
220, 60, 55.0, 59, 220, 0.9322033898305084
221, 60, 20.0, 29, 221, 0.6896551724137931
222, 60, 46.0, 51, 222, 0.9019607843137255
223, 60, 51.0, 56, 223, 0.9107142857142857
224, 60, 58.0, 59, 224, 0.9830508474576272
225, 60, 56.0, 58, 225, 0.9655172413793104
226, 60, 57.0, 59, 226, 0.9661016949152542
227, 60, 43.0, 48, 227, 0.8958333333333334
228, 60, 58.0, 59, 228, 0.9830508474576272
229, 60, 58.0, 59, 229, 0.9830508474576272
230, 60, 42.0, 49, 230, 0.8571428571428571
231, 60, 57.0, 59, 231, 0.9661016949152542
232, 60, 22.0, 24, 232, 0.9166666666666666
233, 60, 58.0, 58, 233, 1.0
234, 60, 30.0, 36, 234, 0.8333333333333334
235, 60, 58.0, 59, 235, 0.9830508474576272
236, 60, 58.0, 59, 236, 0.9830508474576272
237, 60, 58.0, 59, 237, 0.9830508474576272
238, 60, 47.0, 51, 238, 0.9215686274509803
239, 60, 58.0, 59, 239, 0.9830508474576272
240, 60, 49.0, 55, 240, 0.8909090909090909
241, 60, 57.0, 59, 241, 0.9661016949152542
242, 60, 47.0, 47, 242, 1.0
243, 60, 20.0, 27, 243, 0.7407407407407407
244, 60, 49.0, 59, 244, 0.8305084745762712
245, 60, 45.0, 47, 245, 0.9574468085106383
246, 60, 58.0, 59, 246, 0.9830508474576272
247, 60, 39.0, 42, 247, 0.9285714285714286
248, 60, 29.0, 31, 248, 0.9354838709677419
249, 60, 57.0, 59, 249, 0.9661016949152542
250, 60, 59.0, 59, 250, 1.0
251, 60, 57.0, 59, 251, 0.9661016949152542
252, 60, 56.0, 58, 252, 0.9655172413793104
253, 60, 58.0, 59, 253, 0.9830508474576272
254, 60, 59.0, 59, 254, 1.0
255, 60, 23.0, 26, 255, 0.8846153846153846
256, 60, 26.0, 33, 256, 0.7878787878787878
257, 60, 39.0, 43, 257, 0.9069767441860465
258, 60, 43.0, 45, 258, 0.9555555555555556
259, 60, 47.0, 51, 259, 0.9215686274509803
260, 60, 57.0, 59, 260, 0.9661016949152542
261, 60, 58.0, 59, 261, 0.9830508474576272
262, 60, 49.0, 53, 262, 0.9245283018867925
263, 60, 57.0, 58, 263, 0.9827586206896551
264, 60, 55.0, 59, 264, 0.9322033898305084
265, 60, 57.0, 59, 265, 0.9661016949152542
266, 60, 18.0, 23, 266, 0.782608695652174
267, 60, 59.0, 59, 267, 1.0
268, 60, 55.0, 58, 268, 0.9482758620689655
269, 60, 22.0, 34, 269, 0.6470588235294118
270, 60, 56.0, 57, 270, 0.9824561403508771
271, 60, 48.0, 53, 271, 0.9056603773584906
272, 60, 59.0, 59, 272, 1.0
273, 60, 54.0, 56, 273, 0.9642857142857143
274, 60, 53.0, 56, 274, 0.9464285714285714
275, 60, 51.0, 53, 275, 0.9622641509433962
276, 60, 51.0, 53, 276, 0.9622641509433962
277, 60, 52.0, 59, 277, 0.8813559322033898
278, 60, 30.0, 35, 278, 0.8571428571428571
279, 60, 38.0, 42, 279, 0.9047619047619048
280, 60, 57.0, 58, 280, 0.9827586206896551
281, 60, 57.0, 59, 281, 0.9661016949152542
282, 60, 58.0, 59, 282, 0.9830508474576272
283, 60, 59.0, 59, 283, 1.0
284, 60, 58.0, 59, 284, 0.9830508474576272
285, 60, 58.0, 59, 285, 0.9830508474576272
286, 60, 56.0, 59, 286, 0.9491525423728814
287, 60, 55.0, 58, 287, 0.9482758620689655
288, 60, 58.0, 59, 288, 0.9830508474576272
289, 60, 57.0, 58, 289, 0.9827586206896551
290, 60, 58.0, 58, 290, 1.0
291, 60, 57.0, 59, 291, 0.9661016949152542
292, 60, 42.0, 45, 292, 0.9333333333333333
293, 60, 58.0, 59, 293, 0.9830508474576272
294, 60, 57.0, 59, 294, 0.9661016949152542
295, 60, 58.0, 59, 295, 0.9830508474576272
296, 60, 58.0, 59, 296, 0.9830508474576272
297, 60, 59.0, 59, 297, 1.0
298, 60, 9.0, 15, 298, 0.6
299, 60, 56.0, 57, 299, 0.9824561403508771
300, 60, 55.0, 58, 300, 0.9482758620689655
301, 60, 53.0, 57, 301, 0.9298245614035088
302, 60, 50.0, 55, 302, 0.9090909090909091
303, 60, 55.0, 57, 303, 0.9649122807017544
304, 60, 56.0, 59, 304, 0.9491525423728814
305, 60, 58.0, 59, 305, 0.9830508474576272
306, 60, 59.0, 59, 306, 1.0
307, 60, 56.0, 59, 307, 0.9491525423728814
308, 60, 58.0, 59, 308, 0.9830508474576272
309, 60, 41.0, 49, 309, 0.8367346938775511
310, 60, 58.0, 59, 310, 0.9830508474576272
311, 60, 57.0, 57, 311, 1.0
312, 60, 54.0, 56, 312, 0.9642857142857143
313, 60, 48.0, 52, 313, 0.9230769230769231
314, 60, 59.0, 59, 314, 1.0
315, 60, 57.0, 59, 315, 0.9661016949152542
316, 60, 53.0, 58, 316, 0.9137931034482759
317, 60, 58.0, 59, 317, 0.9830508474576272
318, 60, 47.0, 49, 318, 0.9591836734693877
319, 60, 56.0, 59, 319, 0.9491525423728814
320, 60, 26.0, 34, 320, 0.7647058823529411
321, 60, 35.0, 39, 321, 0.8974358974358975
322, 60, 42.0, 48, 322, 0.875
323, 60, 58.0, 59, 323, 0.9830508474576272
324, 60, 57.0, 59, 324, 0.9661016949152542
325, 60, 57.0, 59, 325, 0.9661016949152542
326, 60, 55.0, 57, 326, 0.9649122807017544
327, 60, 57.0, 57, 327, 1.0
328, 60, 56.0, 58, 328, 0.9655172413793104
329, 60, 55.0, 57, 329, 0.9649122807017544
330, 60, 56.0, 57, 330, 0.9824561403508771
331, 60, 15.0, 20, 331, 0.75
332, 60, 39.0, 42, 332, 0.9285714285714286
333, 60, 38.0, 40, 333, 0.95
334, 60, 44.0, 50, 334, 0.88
335, 60, 56.0, 58, 335, 0.9655172413793104
336, 60, 57.0, 58, 336, 0.9827586206896551
337, 60, 51.0, 57, 337, 0.8947368421052632
338, 60, 57.0, 57, 338, 1.0
339, 60, 55.0, 57, 339, 0.9649122807017544
340, 60, 16.0, 21, 340, 0.7619047619047619
341, 60, 51.0, 56, 341, 0.9107142857142857
342, 60, 31.0, 41, 342, 0.7560975609756098
343, 60, 16.0, 26, 343, 0.6153846153846154
344, 60, 13.0, 24, 344, 0.5416666666666666
345, 60, 52.0, 55, 345, 0.9454545454545454
346, 60, 19.0, 31, 346, 0.6129032258064516
347, 60, 52.0, 57, 347, 0.9122807017543859
348, 60, 55.0, 57, 348, 0.9649122807017544
349, 60, 54.0, 56, 349, 0.9642857142857143
350, 60, 51.0, 57, 350, 0.8947368421052632
351, 60, 31.0, 36, 351, 0.8611111111111112
352, 60, 55.0, 57, 352, 0.9649122807017544
353, 60, 45.0, 47, 353, 0.9574468085106383
354, 60, 35.0, 38, 354, 0.9210526315789473
355, 60, 21.0, 24, 355, 0.875
356, 60, 24.0, 27, 356, 0.8888888888888888
357, 60, 27.0, 40, 357, 0.675
358, 60, 54.0, 58, 358, 0.9310344827586207
359, 60, 37.0, 42, 359, 0.8809523809523809
360, 60, 25.0, 28, 360, 0.8928571428571429
361, 60, 57.0, 58, 361, 0.9827586206896551
362, 60, 19.0, 23, 362, 0.8260869565217391
363, 60, 56.0, 57, 363, 0.9824561403508771
364, 60, 31.0, 35, 364, 0.8857142857142857
365, 60, 20.0, 33, 365, 0.6060606060606061
366, 60, 29.0, 39, 366, 0.7435897435897436
367, 60, 55.0, 57, 367, 0.9649122807017544
368, 60, 54.0, 57, 368, 0.9473684210526315
369, 60, 43.0, 49, 369, 0.8775510204081632
370, 60, 17.0, 22, 370, 0.7727272727272727
371, 60, 30.0, 33, 371, 0.9090909090909091
372, 60, 26.0, 33, 372, 0.7878787878787878
373, 60, 33.0, 36, 373, 0.9166666666666666
374, 60, 31.0, 34, 374, 0.9117647058823529
375, 60, 54.0, 56, 375, 0.9642857142857143
376, 60, 17.0, 24, 376, 0.7083333333333334
377, 60, 25.0, 33, 377, 0.7575757575757576
378, 60, 49.0, 53, 378, 0.9245283018867925
379, 60, 43.0, 50, 379, 0.86
380, 60, 8.0, 15, 380, 0.5333333333333333
381, 60, 54.0, 57, 381, 0.9473684210526315
382, 60, 53.0, 57, 382, 0.9298245614035088
383, 60, 56.0, 58, 383, 0.9655172413793104
384, 60, 55.0, 57, 384, 0.9649122807017544
385, 60, 44.0, 50, 385, 0.88
386, 60, 20.0, 29, 386, 0.6896551724137931
387, 60, 55.0, 57, 387, 0.9649122807017544
388, 60, 57.0, 57, 388, 1.0
389, 60, 55.0, 57, 389, 0.9649122807017544
390, 60, 16.0, 22, 390, 0.7272727272727273
391, 60, 46.0, 48, 391, 0.9583333333333334
392, 60, 57.0, 57, 392, 1.0
393, 60, 57.0, 57, 393, 1.0
394, 60, 53.0, 56, 394, 0.9464285714285714
395, 60, 55.0, 58, 395, 0.9482758620689655
396, 60, 20.0, 26, 396, 0.7692307692307693
397, 60, 56.0, 56, 397, 1.0
398, 60, 51.0, 54, 398, 0.9444444444444444
399, 60, 6.0, 11, 399, 0.5454545454545454
